#Date,news positivity,news negativity,yesterday news positivity, yesterday news negativity,stock change
2011-09-09,9.7453406001,15.9908280183,13.7410875634,20.8278837747,-2
2011-09-12,9.677697925,9.8770862818,5.2444245206,9.4120974297,1
2011-09-13,13.517795185,17.7750347357,9.677697925,9.8770862818,1
2011-09-14,9.6748973483,14.7950644348,13.517795185,17.7750347357,1
2011-09-15,11.1392745667,18.8603930859,9.6748973483,14.7950644348,2
2011-09-16,9.1064448539,13.6564467461,11.1392745667,18.8603930859,1
2011-09-19,11.2221336204,13.3571208643,12.8645957817,23.671281148,-1
2011-09-20,10.0403219545,9.6244157554,11.2221336204,13.3571208643,0
2011-09-21,8.3866685518,15.8015327408,10.0403219545,9.6244157554,-2
2011-09-22,13.8445334687,15.2365854854,8.3866685518,15.8015327408,-2
2011-09-23,8.8008813237,13.399615645,13.8445334687,15.2365854854,1
2011-09-26,14.3229091296,14.4522721749,6.3951543368,8.0010629522,2
2011-09-27,8.0308756868,12.1095247461,14.3229091296,14.4522721749,2
2011-09-28,5.2211595332,12.0054429646,8.0308756868,12.1095247461,-2
2011-09-29,14.6523405725,13.0644730821,5.2211595332,12.0054429646,1
2011-09-30,10.6509866424,12.7273875699,14.6523405725,13.0644730821,-2
2011-10-03,9.5643282639,10.3935176193,10.3943151823,13.4424315005,-2
2011-10-04,9.017096688,11.4368405339,9.5643282639,10.3935176193,2
2011-10-05,10.8854212594,11.8464352607,9.017096688,11.4368405339,1
2011-10-06,9.9364894053,11.5825287972,10.8854212594,11.8464352607,2
2011-10-07,12.9856115816,16.2540250825,9.9364894053,11.5825287972,-1
2011-10-10,10.2191747173,15.6075582323,13.2145707948,15.6934273243,2
2011-10-11,8.0348782452,7.9372543838,10.2191747173,15.6075582323,-1
2011-10-12,14.989930432,15.6043856673,8.0348782452,7.9372543838,1
2011-10-13,8.4066181255,14.4950108194,14.989930432,15.6043856673,-1
2011-10-14,10.4087663562,13.6558002748,8.4066181255,14.4950108194,2
2011-10-17,10.4179585555,11.7789991565,9.6875599359,13.4980588383,-2
2011-10-18,10.3466043437,17.7236128132,10.4179585555,11.7789991565,2
2011-10-19,10.0288394308,11.9078709219,10.3466043437,17.7236128132,-1
2011-10-20,15.7963403989,19.2353683867,10.0288394308,11.9078709219,1
2011-10-21,11.9233110527,13.1999830706,15.7963403989,19.2353683867,2
2011-10-24,10.5011135592,12.2928238358,10.8904649419,16.5347249834,1
2011-10-25,10.6606660386,12.9996287597,10.5011135592,12.2928238358,-2
2011-10-26,9.4634077766,13.8917444205,10.6606660386,12.9996287597,2
2011-10-27,8.9683601545,9.3222930558,9.4634077766,13.8917444205,2
2011-10-28,9.6432871367,14.282795481,8.9683601545,9.3222930558,1
2011-10-31,8.5608917137,9.4388473481,10.8216368491,20.9636185083,-2
2011-11-01,9.2066407925,7.550266412,8.5608917137,9.4388473481,-2
2011-11-02,8.2860817349,9.78255449,9.2066407925,7.550266412,2
2011-11-03,10.3431498298,15.3495255593,8.2860817349,9.78255449,2
2011-11-04,12.7957988812,11.5304758184,10.3431498298,15.3495255593,-1
2011-11-07,11.8205114524,17.6039183777,16.8127025239,15.605279311,1
2011-11-08,9.9547613657,18.2983016214,11.8205114524,17.6039183777,1
2011-11-09,12.6313593765,17.7766001085,9.9547613657,18.2983016214,-2
2011-11-10,13.3992989914,14.0086373291,12.6313593765,17.7766001085,1
2011-11-11,11.3186323322,13.7236738955,13.3992989914,14.0086373291,2
2011-11-14,11.4885246501,13.7849878911,14.2432062622,20.930807889,-1
2011-11-15,9.4049334041,13.7226872024,11.4885246501,13.7849878911,1
2011-11-16,12.8087090974,13.5799474423,9.4049334041,13.7226872024,-2
2011-11-17,15.4161738324,17.2172722352,12.8087090974,13.5799474423,-1
2011-11-18,9.9669734542,12.1342485802,15.4161738324,17.2172722352,1
2011-11-21,12.9926218628,16.6247086918,13.5960354812,20.2834779397,-2
2011-11-22,13.5571488935,13.3516401645,12.9926218628,16.6247086918,-1
2011-11-23,12.084337594,14.3094560724,13.5571488935,13.3516401645,-2
2011-11-25,12.7373997503,13.6473771219,9.1002294876,9.335433234,-1
2011-11-28,13.9862437099,14.9291937879,10.2274362349,13.9732802808,2
2011-11-29,12.5796957556,14.2603921671,13.9862437099,14.9291937879,1
2011-11-30,14.7813377073,16.5769008744,12.5796957556,14.2603921671,2
2011-12-01,13.5609406052,17.1774227675,14.7813377073,16.5769008744,-1
