#Date,news positivity,news negativity,stock change
2010-03-19,14.1098395477,19.8168501025,-1
2010-03-22,14.7722444308,14.6405557222,1
2010-03-23,12.8660174909,14.8309098083,1
2010-03-24,9.9948491393,17.2882973564,-1
2010-03-25,11.9692009556,12.7493815664,0
2010-03-26,8.586075644,9.9240137887,0
2010-03-29,10.9769499979,12.33545571,1
2010-03-30,10.9406958094,14.3703526965,0
2010-03-31,10.355138489,13.3836952059,-1
2010-04-01,11.609632498,15.8197419511,1
2010-04-05,5.4211897587,11.0786031731,1
2010-04-06,13.7860709175,15.5444455037,0
2010-04-07,10.5922490625,16.1603080712,-1
2010-04-08,10.4023328795,14.1388458823,1
2010-04-09,10.439382551,14.5432189117,1
2010-04-12,13.8893705262,15.7797784137,0
2010-04-13,9.7246405188,11.8130778308,0
2010-04-14,8.2043764548,13.0001325778,1
2010-04-15,9.2969015451,13.539630227,1
2010-04-16,10.673690222,18.7982261972,-1
2010-04-19,11.8188190492,15.4191713409,1
2010-04-20,11.2037973354,11.2130177965,1
2010-04-21,10.2002122103,12.5366311515,0
2010-04-22,11.5188066091,15.0863267343,1
2010-04-23,9.2846939628,10.9543457618,1
2010-04-26,9.6261600051,13.1760086689,0
2010-04-27,8.61692211,7.427512175,-2
2010-04-28,15.549311409,18.4497649332,1
2010-04-29,11.5258211178,16.0306397651,1
2010-04-30,12.3238428088,19.1147160299,-2
2010-05-03,11.6099581397,12.2021983311,2
2010-05-04,10.0516410432,9.8823676663,-2
2010-05-05,11.7634734842,13.8822159074,-1
2010-05-06,12.6050474583,12.7432845666,-2
2010-05-07,12.3059223811,14.6941582045,-1
2010-05-10,13.1335285868,15.1446530522,2
2010-05-11,11.3211057663,12.292845099,-1
2010-05-12,10.8518480429,12.8714813608,2
2010-05-13,12.9089475054,14.4863799872,-1
2010-05-14,9.5223893447,13.3371221558,-2
2010-05-17,10.2306721564,13.0948263978,0
2010-05-18,12.4960928426,14.4622678314,-1
2010-05-19,11.3511844714,14.209485037,-1
2010-05-20,8.7242740744,13.2300580173,-2
2010-05-21,10.3277356582,9.3041131547,1
2010-05-24,11.0549238308,19.1033478617,-1
2010-05-25,12.6279596868,13.8748636262,-1
2010-05-26,11.4678017924,13.9052244015,-1
2010-05-27,9.8229138907,12.5616905787,2
2010-05-28,11.7073993619,16.6467680895,-1
